CHROMATOGRAM,
GC27_1.raw,
Data points: 42010,
Time,Intensity
2.263333,4456
2.265,4454
2.266667,4453
2.268333,4454
2.27,4454
2.271667,4455
2.273333,4456
2.275,4455
2.276667,4455
2.278333,4454
2.28,4454
2.281667,4452
2.283333,4450
2.285,4449
2.286667,4447
2.288333,4449
2.29,4449
2.291667,4450
2.293333,4453
2.295,4454
2.296667,4455
2.298333,4452
2.3,4450
2.301667,4448
2.303333,4445
2.305,4445
2.306667,4442
2.308333,4443
2.31,4445
2.311667,4445
2.313333,4447
2.315,4449
2.316667,4451
2.318333,4451
2.32,4452
2.321667,4451
2.323333,4450
2.325,4450
2.326667,4449
2.328333,4448
2.33,4450
2.331667,4453
2.333333,4454
2.335,4456
2.336667,4458
2.338333,4457
2.34,4456
2.341667,4454
2.343333,4453
2.345,4453
2.346667,4455
2.348333,4455
2.35,4455
2.351667,4457
2.353333,4457
2.355,4455
2.356667,4454
2.358333,4455
2.36,4455
2.361667,4455
2.363333,4455
2.365,4456
2.366667,4456
2.368333,4456
2.37,4456
2.371667,4455
2.373333,4455
2.375,4456
2.376667,4455
2.378333,4455
2.38,4457
2.381667,4457
2.383333,4456
2.385,4455
2.386667,4455
2.388333,4454
2.39,4453
2.391667,4451
2.393333,4451
2.395,4452
2.396667,4454
2.398333,4454
2.4,4455
2.401667,4457
2.403333,4459
2.405,4460
2.406667,4461
2.408333,4463
2.41,4462
2.411667,4464
2.413333,4464
2.415,4464
2.416667,4464
2.418333,4462
2.42,4460
2.421667,4458
2.423333,4456
2.425,4457
2.426667,4456
2.428333,4457
2.43,4459
2.431667,4460
2.433333,4460
2.435,4459
2.436667,4458
2.438333,4457
2.44,4456
2.441667,4455
2.443333,4455
2.445,4455
2.446667,4457
2.448333,4458
2.45,4458
2.451667,4457
2.453333,4459
2.455,4460
2.456667,4459
2.458333,4458
2.46,4458
2.461667,4460
2.463333,4462
2.465,4462
2.466667,4461
2.468333,4460
2.47,4460
2.471667,4460
2.473333,4459
2.475,4456
2.476667,4454
2.478333,4454
2.48,4456
